name,D1,D2,Sum_director,year,country,types,score,num
布达佩斯大饭店,韦斯·安德森,,1,2014,美国,剧情,8.9,1069491
飞越疯人院,米洛斯·福尔曼,,1,1975,美国,剧情,9.1,597014
蝴蝶效应,埃里克·布雷斯,·麦基·格鲁伯,2,2004,美国,剧情,8.9,1053834
禁闭岛,Martin Scorsese,,1,2010,美国,剧情,8.9,1098370
心灵捕手,格斯·范·桑特,,1,1997,美国,剧情,9.0,804978
致命魔术,克里斯托弗·诺兰,,1,2006,英国,剧情,8.9,952894
低俗小说,昆汀·塔伦蒂诺,,1,1994,美国,剧情,8.9,945528
还有明天,宝拉·柯特莱西,,1,2023,意大利,剧情,9.3,341791
超脱,托尼·凯耶,,1,2011,美国,剧情,9.0,711878
哈利·波特与密室,Chris Columbus,,1,2002,英国,奇幻,8.9,901484
喜剧之王,周星驰,李力持,2,1999,中国香港,喜剧,8.8,1081122
一一,杨德昌,,1,2000,中国台湾,剧情,9.1,493340
摩登时代,查理·卓别林,,1,1936,美国,剧情,9.3,341685
杀人回忆,奉俊昊,,1,2003,韩国,剧情,8.9,824412
致命ID,詹姆斯·曼高德,,1,2003,美国,剧情,8.9,934419
春光乍泄,王家卫,,1,1997,中国香港,剧情,9.0,702525
加勒比海盗,戈尔·维宾斯基,,1,2003,美国,动作,8.8,956830
海豚湾,路易·西霍尤斯,,1,2009,美国,纪录片,9.3,379685
美国往事,赛尔乔·莱翁内,,1,1984,美国,犯罪,9.1,465413
红辣椒,今敏,,1,2006,日本,动画,9.0,559283
七宗罪,大卫·芬奇,,1,1995,美国,剧情,8.8,1048950
唐伯虎点秋香,李力持,,1,1993,中国香港,喜剧,8.8,1209834
狩猎,托马斯·温特伯格,,1,2012,丹麦,剧情,9.1,462048
幽灵公主,宫崎骏,,1,1997,日本,动画,8.9,660395
甜蜜蜜,陈可辛,,1,1996,中国香港,剧情,8.9,662144
寄生虫,奉俊昊,,1,2019,韩国,剧情,8.8,1530289
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,,1,2012,美国,剧情,8.9,804816
天书奇谭,王树忱,钱运达,2,2021,中国大陆,动画,9.2,328093
7号房的礼物,李焕庆,,1,2013,韩国,剧情,8.9,615814
超能陆战队,唐·霍尔,克里斯·威廉姆斯,2,2014,美国,喜剧,8.8,1131765
爱在黎明破晓前,理查德·林克莱特,,1,1995,美国,剧情,8.8,788292
第六感,·奈特·沙马兰,,1,1999,美国,剧情,8.9,628995
爱在日落黄昏时,理查德·林克莱特,,1,2004,美国,剧情,8.9,644351
被嫌弃的松子的一生,中岛哲也,,1,2006,日本,剧情,8.8,767871
茶馆,谢添,,1,1982,中国大陆,剧情,9.6,202425
重庆森林,王家卫,,1,1994,中国香港,剧情,8.8,913296
未麻的部屋,今敏,,1,1997,日本,剧情,9.1,417596
哈利·波特与火焰杯,迈克·内威尔,,1,2005,英国,悬疑,8.8,789062
头脑特工队,彼特·道格特,罗纳尔多·德尔·卡门,2,2015,美国,喜剧,8.8,790693
入殓师,泷田洋二郎,,1,2008,日本,剧情,8.9,737583
借东西的小人阿莉埃蒂,米林宏昌,,1,2010,日本,动画,8.9,620862
菊次郎的夏天,北野武,,1,1999,日本,剧情,8.9,667270
剪刀手爱德华,蒂姆·波顿,,1,1990,美国,剧情,8.7,1112631
断背山,李安,,1,2005,美国,剧情,8.8,774371
勇敢的心,梅尔·吉布森,,1,1995,美国,动作,8.9,601203
时空恋旅人,理查德·柯蒂斯,,1,2013,英国,喜剧,8.8,780407
消失的爱人,大卫·芬奇,,1,2014,美国,剧情,8.7,1062129
倩女幽魂,程小东,,1,1987,中国香港,爱情,8.8,828307
无人知晓,是枝裕和,,1,2004,日本,剧情,9.1,368072
驯龙高手,迪恩·德布洛斯,克里斯·桑德斯,2,2010,美国,动画,8.8,853898
花样年华,王家卫,,1,2000,中国香港,剧情,8.8,792973
傲慢与偏见,乔·怀特,,1,2005,法国,剧情,8.7,917812
新世界,朴勋政,,1,2013,韩国,剧情,8.9,519142
完美的世界,克林特·伊斯特伍德,,1,1993,美国,剧情,9.1,356663
阳光灿烂的日子,姜文,,1,1994,中国大陆,剧情,8.8,688484
一个叫欧维的男人决定去死,汉内斯·赫尔姆,,1,2015,瑞典,剧情,8.9,560605
小森林 夏秋篇,森淳一,,1,2014,日本,剧情,9.0,469172
玩具总动员3,李·昂克里奇,,1,2010,美国,喜剧,8.9,584877
天使爱美丽,让,皮埃尔·热内,2,2001,法国,剧情,8.7,1014691
怪兽电力公司,彼特·道格特,大卫·斯沃曼,2,2001,美国,儿童,8.8,761259
色，戒,李安,,1,2007,中国台湾,剧情,8.7,948277
侧耳倾听,近藤喜文,,1,1995,日本,剧情,8.9,515753
教父3,弗朗西斯·福特·科波拉,,1,1990,美国,剧情,9.0,426457
请以你的名字呼唤我,卢卡·瓜达尼诺,,1,2017,意大利,剧情,8.8,814776
